UPPER-1 (Thân trên),,,,
,BP02,Dumbbell Bench Press,5,5
,BL04,Dumbbell Row,3,15
,SP03,Dumbbell Shoulder Press,4,8
,BC02,Dumbbell Curl,2,15
,TC06,Triceps Rope Pushdown,3,15
UPPER-2 (Thân trên),,,,
,BL02,Barbell Row,4,10
,BP08,Dumbbell Incline Bench Press,4,8
,SP05,Dumbbell Arnold Press,4,15
,BC04,Dumbbell Hammer Curl,4,15
,TC05,Tricep Kickback,3,15
UPPER-3 (Thân trên),,,,
,DL07,Conventional Block Pull,4,8
,BP06,Dumbbell Chest Fly,3,12
,SP01,Barbell Overhead Press,5,5
,SO01,Dumbbell Lateral Raise,3,15
,BC06,Dumbbell Concentration Curl,3,15
,TC06,Triceps Rope Pushdown,3,15
UPPER-4 (Thân trên),,,,
,BL02,Barbell Row,4,10
,BP02,Dumbbell Bench Press,4,10
,SP03,Dumbbell Shoulder Press,3,15
,BL09,Lat Pulldown,3,15
,BL13,Machine-assisted Pull-up,3,15
,BC05,Dumbbell Preacher Curl,3,15
"LOWER-1 (Chân, Đùi, Mông)",,,,
,SQ03,Goblet Squat,5,8
,LU02,Dumbbell Lunge,3,15
,LE01,Leg Extension,4,15
,LC01,Lying Leg Curl,3,15
"LOWER-2 (Chân, Đùi, Mông)",,,,
,SQ04,Dumbbell Front Squat,4,10
,DL08,Trap Bar Deadlift,3,15
,LU02,Dumbbell Lunge,3,15
,LE01,Leg Extension,3,15
,LC01,Lying Leg Curl,3,15
"LOWER-3 (Chân, Đùi, Mông)",,,,
,SQ01,Barbell Back Squat,5,5
,DL04,Barbell Sumo Deadlift,4,10
,HT01,Barbell Hip Thrust,4,10
,LP01,Leg Press,3,12
,LC01,Lying Leg Curl,3,15
"LOWER-4 (Chân, Đùi, Mông)",,,,
,DL04,Barbell Sumo Deadlift,4,6
,SQ01,Barbell Back Squat,3,15
,HT01,Barbell Hip Thrust,4,10
,RP01,Rope Pull Through,4,12
,SQ09,Dumbbell Sumo Squat,3,12
"PUSH-1 (Ngực, Vai, Tay sau)",,,,
,BP02,Dumbbell Bench Press,4,10
,BP06,Dumbbell Chest Fly,3,12
,SP05,Dumbbell Arnold Press,4,8
,SO01,Dumbbell Lateral Raise,3,15
,TC06,Triceps Rope Pushdown,3,15
"PUSH-2 (Ngực, Vai, Tay sau)",,,,
,SP01,Barbell Overhead Press,5,5
,BP04,Dumbbell Bench Press,4,10
,FS01,Dumbbell Front Raise,3,10
,TC06,Triceps Rope Pushdown,3,15
,TC05,Tricep Kickback,2,15
"PUSH-3 (Ngực, Vai, Tay sau)",,,,
,BP01,Barbell Bench Press,5,5
,SP06,Dumbbell Hammer Shoulder Press,4,8
,SO04,Reverse Butterfly,3,15
,SP05,Dumbbell Arnold Press,3,15
,TC06,Triceps Rope Pushdown,3,15
"PUSH-4 (Ngực, Vai, Tay sau)",,,,
,SP01, Barbell overhead Press,4,6
,BP01,Barbell Bench Press,5,5
,BP05,Cable Chest Fly,3,12
,SO01,Dumbbell Lateral Raise,3,15
,RD01,Dumbbell Rear Delt Fly,3,15
,TC03,Dumbbell Skull Crusher,3,15
"PULL-1 (Lưng, Xô, Tay trước)",,,,
,BL04,Dumbbell Row,3,8
,BL09,Lat Pulldown,3,12
,BL14,Close Grip Pulldown,3,12
,BL13,Machine-assisted Pull-up,3,15
,BC02,Dumbbell Curl,4,8
"PULL-2 (Lưng, Xô, Tay trước)",,,,
,BL04,Dumbbell Row,4,8
,BL09,Lat Pulldown,3,12
,BL06,Seated Cable Row,3,12
,BL05,Incline Dumbbell Row,3,15
,BC04,Dumbbell Hammer Curl,3,10
"PULL-3 (Lưng, Xô, Tay trước)",,,,
,BL01,Barbell Conventional Deadlift,5,5
,BL02,Barbell Row,3,10
,BL13,Machine-assisted Pull-up,3,15
,BL09,Lat Pulldown,3,15
,BL07,Face Pull,3,10
,BC02,Dumbbell Curl,3,15
"PULL-4 (Lưng, Xô, Tay trước)",,,,
,BL04,Dumbbell Row,4,6
,BL11,Straight Arm Pulldown,4,12
,BL09,Lat Pulldown,3,12
,BL06,Seated Cable Row,3,12
,SO04,Reverse Butterfly,3,15
,BC01,Barbell Curl,3,12
