AB01,Alternate Heel Touchers,Bụng,Dễ,"Bước 1: Nằm ngửa người trên thảm tập, đặt hai bàn chân thẳng trên sàn, gần mông, hai tay duỗi thẳng hai bên thân người.
Bước 2: Bắt đầu hơi nâng đầu lên, nghiêng người sang bên trái chạm ngón tay trái về phía gót chân trái.
Bước 3: Quay trở lại vị trí ban đầu và lặp lại tương tự cho bên phải với tay phải chạm vào gót phải.",https://youtu.be/RW25fbkQxVQ?t=24
AB02,Crunch,Bụng,Dễ,"Bước 1: Nằm ngửa người trên thảm tập, đặt hai bàn chân thẳng trên sàn, gần mông, hai tay duỗi thẳng hai bên thân người.
Bước 2: Bắt đầu hơi nâng đầu lên, nghiêng người sang bên trái chạm ngón tay trái về phía gót chân trái.
Bước 3: Quay trở lại vị trí ban đầu và lặp lại tương tự cho bên phải với tay phải chạm vào gót phải.",https://youtu.be/Xyd_fa5zoEU?t=7
AB03,Leg Raise,Bụng,Dễ,"Bước 1: Nằm ngửa trên sàn, chân duỗi thẳng và tay hai bên cạnh, lòng bàn tay hướng xuống.
Bước 2: Hơi nhấc gót chân khỏi mặt đất.
Bước 3: Giữ chân và đầu gối thẳng, từ từ nhấc chân lên tạo góc 90 độ với sàn.
Bước 4: Ngưng ở vị trí trên cùng. Rồi từ từ hạ chân xuống vị trí ban đầu.

Lưu ý: Đừng để gót chân chạm xuống sàn trong toàn bộ hiệp.",https://youtu.be/JB2oyawG9KI?t=8
AB04,Russian Twist,Bụng,Dễ,"Bước 1: Nằm trên mặt đất, bàn chân đặt dưới vật cố định hoặc nhờ người giữ hộ. Đầu gối cong.
Bước 2: Nhấc thân trên tạo hình chữ V với đùi. Tay duỗi thẳng phía trước và vuông góc với thân, tay nắm nhau. Đây là vị trí bắt đầu.
Bước 3: Vặn thân sang bên phải cho tới khi tay song song với mặt đất, trong khi thở ra.
Bước 4: Siết cơ 1 giây và quay trở lại vị trí bắt đầu trong khi hít vào. Bây giờ làm cho phía bên kia với cùng kỹ thuật.
Bước 5: Lặp lại cho tới khi đạt được số lần yêu cầu.",https://youtu.be/wkD8rjkodUI?t=10
AB05,Toe Touches,Bụng,Dễ,"Bước 1: Nằm ngửa lưng trên thảm tập, nâng hai tay thẳng trước ngực, song song với nhau, hai lòng bàn tay hướng về phía chân.
Bước 2: Nâng thẳng hai chân lên sao cho vuông góc với thân người (nếu chưa thể hãy cố gắng nâng cao hết mức). Cố gắng duỗi thẳng.
Bước 3: Bắt đầu nhấc vai vai đầu lên gập về phía hai chân. Giữ yên hai tay, thở ra và căng cứng cơ bụng.",https://youtu.be/y6Bv_0Shhc8?t=10
AB06,Seated Knee Tucks,Bụng,Dễ,"Bước 1: Ngồi vào mép ghế dài, tay giữ nhẹ dưới ghế để ổn định cơ thể, giữ cơ bụng hơi căng. 
Bước 2: Dùng cơ bụng kéo chân về phía cơ thể, thở ra. Khi cơ bụng co căng cứng, giữ vị trí này 1 nhịp.
Bước 3: Hạ chân. Đưa người về vị trí ban đầu, đồng thời hít vào trong suốt quá trình.

Lưu ý:
- Tay giữ dưới ghế nhẹ nhất có thể, chỉ dùng lực để ổn định vị trí cơ thể.
- Luôn giữ cho cơ bụng căng cứng trong suốt quá trình tập.
- Cuộn người để đảm bảo cơ Psoap không hoạt động.",https://youtu.be/54q250IUEAc?t=17
CD01,Burpee,Toàn thân,Dễ,"Bước 1: Đứng thẳng, chân rộng bằng vai và hạ người xuống về tư thế Squat, 2 tay chống trên sàn, gót chân hơi nhấc lên 1 chút.
Bước 2: Nhún nhẹ và búng 2 chân về sau, về tư thế hít đất với 2 tay thẳng. Thực hiện 1 lần hít đất.
Bước 3: Thu 2 chân lại về tư thế nhảy ếch.
Bước 4: Khi vừa thu chân lại thì nhảy lên cao hết mức có thể.",https://youtu.be/dZgVxmf6jkA?t=13
CD02,Battle Rope,Toàn thân,Dễ,"Đứng thẳng sau đó khuỵu gối 45 độ. Bắt đầu tập, hai tay cầm hai đầu dây thừng và quất xuống đất liên tục kết hợp di chuyển thành 1 vòng tròn quanh trục sang trái, sau đó chuyển sang phải.",https://youtu.be/r2Rzaf7SaGg?t=26
CD03,Jump Squat,Toàn thân,Dễ,"Bước 1: Bạn trong tư thế đứng thẳng trên sàn nhà, khoảng cách hai chân rộng bằng vai và mắt nhìn thẳng. 2 tay bắt chéo trước
ngực hoặc nắm chặt nhau trước ngực.
Bước 2: Hít vào và thực hiện động tác Squat xuống cho đến khi đùi song song với sàn nhà.
Bước 3: Nhấn gót chân xuống sàn, căng cơ đùi và bật nhảy lên thật mạnh để bật thân người lên càng cao càng tốt. Nhớ đánh tay
theo nhịp bật và ở bước này thì nhịp thở sẽ là thở ra.
Bước 4: Khi mũi chân tiếp đất trở lại tập tức chuyển cơ thể về tư thế Squat xuống, tay đưa về vị trí bắt đầu và thực hiện toàn
bộ động tác liên tục cho đến khi kết thúc bài tập.",https://youtu.be/Azl5tkCzDcc?t=4
CD04,High Knee,Toàn thân,Dễ,"Bước 1: Đứng thẳng, 2 chân rộng bằng vai.
Bước 2: Đứng thẳng, hai chân dang rộng, khoảng cách giữa hai chân rộng bằng vai. Chân phải nâng cao ngang bụng. Tay phải
đưa ra sau, tay trái co tự nhiên trước mặt.
Bước 3: Liên tục nhảy đổi chân 2 bên, đổi tay theo mỗi lần nhảy. Thực hiện động tac 20 lần.",https://youtu.be/oDdkytliOqE?t=10
CD05,Split Jump Squat,Toàn thân,Dễ,"Bước 1: Đứng thẳng, tay sau đầu
Bước 2: Bước tới trước thành thế tấn trước, hạ thân xuống để đùi song song với mặt đất, tránh đừng để đầu gối sau chạm sàn.
Bước 3: Đẩy chân để nhảy lên. Nhảy càng cao càng tốt và đổi chân trên không trung.
Bước 4: Hạ xuống ở tư thế đối nghịch, giữ thân thẳng và đầu nhìn tới trước.
Bước 5: Lặp lại số lần yêu cầu.",https://youtu.be/lSe1YJI2RPo?t=13
CD06,Hop Over,Toàn thân,Dễ,"Bước 1: Đặt ghế ở vị trí ngay ngắn, người đứng ở 1 bên ghế, chân thẳng.
Bước 2: Nhún chân nhẹ và bật nhảy lên cao qua phía bên kia của ghế.
Bước 3: Tiếp đất bằng mũi chân và nhảy ngược lại về vị trí cũ.

Lưu ý: Bài tập này sẽ giúp cho phần bụng, bắp chân và đùi săn chắc hơn.",https://youtu.be/Jo0vV-Y4LaU?t=36
CD07,Mountain Climbers,Toàn thân,Dễ,"Bước 1: Bắt đầu với tư thế hít đất, trọng lượng cơ thể trên tay và ngón chân. Co gối và hông, đưa một chân lên cho đến đầu gối dưới hông. Đây là vị trí bắt đầu.
Bước 2:  Nhanh chóng và dùng lực thay đổi chân, duỗi chân đang co cho tới khi thẳng. Đưa chân kia lên.
Bước 3: Lặp lại trong vòng 20-30 giây.",https://youtu.be/nmwgirgXLYM?t=25
CD08,Forward Hops,Toàn thân,Dễ,,https://youtu.be/jiU7RFts7fI?t=14
CD09,Chạy Bộ Với Máy (Treadmill),Toàn thân,Dễ,,
